Week,Theme,Day,Channel,Angle,Post draft,Owner,Status
Week 1 · Reset,"Replies cleared, cadence set",Monday,GBP,Spring glow plan,"Spring glow plan in [City]: Hydrafacial + LED finishing — three weekly slots open this week. Members save 15%. Booking link in our profile.",[Front-desk lead],Draft
Week 1 · Reset,"Replies cleared, cadence set",Wednesday,GBP,Practice manager intro,"Meet [Practice Manager Name] — the person you'll reach if anything in your visit needs a second look. Same-day reply, every weekday. Email in profile.",[Practice manager],Draft
Week 1 · Reset,"Replies cleared, cadence set",Tuesday,Reviews,Open queue clear,"Clear the open review queue. Reply to every 5–4 star within 48 hours. Escalate any 1–2 star to the practice manager today.",[Front-desk lead],Draft
Week 1 · Reset,"Replies cleared, cadence set",Thursday,Email,Re-engagement,"Re-engagement note to guests not seen in 90+ days — short, no-pressure, link to a 'review your plan' call.",[Practice manager],Draft
Week 1 · Reset,"Replies cleared, cadence set",Friday,SEO,GBP services audit,"Update the GBP services list, attributes, and hours. Add three recent treatment-room photos with descriptive filenames (no patient images).",[Owner],Draft
Week 2 · Provider + service trust,Show who works there and how,Monday,GBP,Provider spotlight,"Meet [Provider first name] — [years] years of aesthetic experience, conservative philosophy, and a calm bedside manner. Booking with [Provider first name] is open Wednesday and Friday afternoons.",[Front-desk lead],Draft
Week 2 · Provider + service trust,Show who works there and how,Wednesday,GBP,Behind-the-scenes sterile prep,"Treatment-room turnover at our [City] clinic: sterile prep, fresh linens, and a 10-minute reset between every guest. The reason your visit feels calm is because the back-of-house runs on a clock.",[Practice manager],Draft
Week 2 · Provider + service trust,Show who works there and how,Tuesday,Reviews,Run the safety check,"Run the 7-question safety check on every reply this week. Have a second team member read each one before posting.",[Front-desk lead],Draft
Week 2 · Provider + service trust,Show who works there and how,Thursday,Email,Membership math,"Send the membership-math email: when the membership pencils out, what's included, who it's for. No discount push.",[Practice manager],Draft
Week 2 · Provider + service trust,Show who works there and how,Friday,SEO,Treatment page audit,"Audit your top 3 treatment pages for a clear price range, FAQ, and what to expect. Link each one from the GBP services list.",[Owner],Draft
Week 3 · Local SEO + content,Be findable for the questions guests already ask,Monday,GBP,FAQ first consult,"First consult at [Practice Name]: 30 minutes, no pressure, full pricing on paper before you decide anything. We'd rather you book the right plan than the most expensive one. Open consults this week.",[Front-desk lead],Draft
Week 3 · Local SEO + content,Be findable for the questions guests already ask,Wednesday,GBP,Neighborhood mention,"Two blocks from [local landmark], parking validated for guests in the [neighborhood] garage. We see a lot of our neighbors — bring a referral and you both get a treatment credit.",[Practice manager],Draft
Week 3 · Local SEO + content,Be findable for the questions guests already ask,Tuesday,Reviews,Mine for signal,"Mine the last 30 days of reviews for one repeating compliment and one repeating concern. Take both to Friday's huddle.",[Front-desk lead],Draft
Week 3 · Local SEO + content,Be findable for the questions guests already ask,Thursday,Email,Skin prep education,"Education email — skin prep that helps every treatment. No offer attached. Builds the trust well for week 4.",[Practice manager],Draft
Week 3 · Local SEO + content,Be findable for the questions guests already ask,Friday,SEO,City or treatment article,"Publish (or refresh) one city-page or treatment-page article answering a real question from your reviews. Internal link from the homepage.",[Owner],Draft
Week 4 · Offer + measure,"Lean into what's converting, measure what's not",Monday,GBP,Seasonal offer or gift card,"Gift cards in any amount, instant email delivery, no expiration. The most-redeemed denomination is $150 — covers a Hydrafacial or starts a membership month. Buy through our profile.",[Front-desk lead],Draft
Week 4 · Offer + measure,"Lean into what's converting, measure what's not",Wednesday,GBP,Review-driven trust post,"What guests in [City] tell us most often: the visit felt calm, the pricing was clear, and the team listened. That's the standard. Read more in our reviews — and let us know how we can do better.",[Practice manager],Draft
Week 4 · Offer + measure,"Lean into what's converting, measure what's not",Tuesday,Reviews,Monthly roll-up,"Run the monthly roll-up: count by star rating, by category, by provider. Share the one-page summary with the practice manager.",[Front-desk lead],Draft
Week 4 · Offer + measure,"Lean into what's converting, measure what's not",Thursday,Email,Soft offer,"Soft offer email — the right offer for your seasonal cadence (membership month, package starter, gift card). One CTA, one link.",[Practice manager],Draft
Week 4 · Offer + measure,"Lean into what's converting, measure what's not",Friday,SEO,GBP insights review,"Pull GBP insights: searches, calls, direction requests. Compare to last month. Pick the metric you'll move next month and write it down.",[Owner],Draft
